i=104 | event=NONE | counter=3 | f_prime=17256596359.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=105 | event=STAG | counter=0 | f_prime=6237607169.00 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=106 | event=NONE | counter=1 | f_prime=18611325773.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=107 | event=NONE | counter=2 | f_prime=16815959914.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=108 | event=NONE | counter=3 | f_prime=19118890083.00 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=109 | event=STAG | counter=0 | f_prime=15486101119.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=110 | event=S_STAG | counter=0 | f_prime=12063233268.67 | f_star=2938683440.67 | 7019695812.933->7018504829.608 | f_range=[2938683440.67, 55586402037.67]
i=111 | event=NONE | counter=1 | f_prime=6025753854.00 | f_star=2938683440.67 | 7018504829.608->7018504829.608 | f_range=[2938683440.67, 55586402037.67]
i=112 | event=NONE | counter=2 | f_prime=22938028388.00 | f_star=2938683440.67 | 7018504829.608->7018504829.608 | f_range=[2938683440.67, 55586402037.67]
i=113 | event=NONE | counter=3 | f_prime=3452072622.67 | f_star=2938683440.67 | 7018504829.608->7018504829.608 | f_range=[2938683440.67, 55586402037.67]
i=114 | event=STAG | counter=0 | f_prime=13285057339.67 | f_star=2938683440.67 | 7018504829.608->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=115 | event=NONE | counter=1 | f_prime=7070668131.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=116 | event=NONE | counter=2 | f_prime=25670824087.00 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=117 | event=NONE | counter=3 | f_prime=14417951007.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=118 | event=STAG | counter=0 | f_prime=8680668880.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=119 | event=NONE | counter=1 | f_prime=13436947636.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=120 | event=NONE | counter=2 | f_prime=8000585839.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=121 | event=NONE | counter=3 | f_prime=14182637044.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=122 | event=STAG | counter=0 | f_prime=6995541541.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=123 | event=S_STAG | counter=0 | f_prime=11739689266.67 | f_star=2938683440.67 | 7019695812.933->7019576714.601 | f_range=[2938683440.67, 55586402037.67]
i=124 | event=NONE | counter=1 | f_prime=6273234158.67 | f_star=2938683440.67 | 7019576714.601->7019576714.601 | f_range=[2938683440.67, 55586402037.67]
i=125 | event=NONE | counter=2 | f_prime=31584504887.00 | f_star=2938683440.67 | 7019576714.601->7019576714.601 | f_range=[2938683440.67, 55586402037.67]
i=126 | event=NONE | counter=3 | f_prime=9025026776.67 | f_star=2938683440.67 | 7019576714.601->7019576714.601 | f_range=[2938683440.67, 55586402037.67]
i=127 | event=STAG | counter=0 | f_prime=3583943810.67 | f_star=2938683440.67 | 7019576714.601->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=128 | event=NONE | counter=1 | f_prime=11763514293.00 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
i=129 | event=NONE | counter=2 | f_prime=9918533440.67 | f_star=2938683440.67 | 7019695812.933->7019695812.933 | f_range=[2938683440.67, 55586402037.67]
